date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:50	59718/59718	---M-Z	200	added ('OK')	text/html	etag:%22e946-6652d68f-9bb71a94a9af3ee1;gz%22	https://crowdytheme.com/html/saasly/crm.html	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/crm.html	(from )
21:39:51	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-650cb906-d8e718ed5d0574ad;gz%22	https://crowdytheme.com/robots.txt		(from )
21:39:52	193560/193560	---M-Z	200	added ('OK')	text/css	etag:%222f418-6652d68e-d6ebd16b54aba8d9;gz%22	https://crowdytheme.com/html/saasly/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/assets/css/bootstrap.min.css	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:52	101714/101714	---M-Z	200	added ('OK')	text/css	etag:%2218d52-6652d68e-47cdfabab1b582ca;gz%22	https://crowdytheme.com/html/saasly/assets/css/all.min.css	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/assets/css/all.min.css	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:53	16387/16387	---M-Z	200	added ('OK')	text/css	etag:%224003-6652d68e-a1dbbc4c3fd64b0f;gz%22	https://crowdytheme.com/html/saasly/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/assets/css/swiper-bundle.min.css	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:53	2139/2139	---M-Z	200	added ('OK')	text/css	etag:%2285b-6652d68e-d5b75f6176972940;gz%22	https://crowdytheme.com/html/saasly/assets/css/progressbar.css	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/assets/css/progressbar.css	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:53	2634/2634	---M-Z	200	added ('OK')	text/css	etag:%22a4a-6652d68e-b57ee52d82e11f34;gz%22	https://crowdytheme.com/html/saasly/assets/css/meanmenu.min.css	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/assets/css/meanmenu.min.css	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:54	7556/7556	---M-Z	200	added ('OK')	text/css	etag:%221d84-6652d68e-d938122e1dc3d878;gz%22	https://crowdytheme.com/html/saasly/assets/css/magnific-popup.css	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/assets/css/magnific-popup.css	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:54	137863/137863	---M-Z	200	added ('OK')	text/css	etag:%2221a87-6652d68e-b7e6b119aae5a8bd;gz%22	https://crowdytheme.com/html/saasly/assets/css/master-crm.css	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/assets/css/master-crm.css	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:54	180/180	---M--	200	added ('OK')	image/png	etag:%22b4-6652d68e-11a6691613674838;;;%22	https://crowdytheme.com/html/saasly/assets/imgs/icon/close.png	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/assets/imgs/icon/close.png	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:55	307/307	---M--	200	added ('OK')	image/png	etag:%22133-6652d68e-81046a89817512bf;;;%22	https://crowdytheme.com/html/saasly/assets/imgs/icon/angle-down.png	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/assets/imgs/icon/angle-down.png	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:55	59708/59708	---M-Z	200	added ('OK')	text/html	etag:%22e93c-6652d68e-585f33e75be7029a;gz%22	https://crowdytheme.com/html/saasly/ai-content-writer.html	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/ai-content-writer.html	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:55	64752/64752	---M-Z	200	added ('OK')	text/html	etag:%22fcf0-6652d68e-8dce0661ed84dec8;gz%22	https://crowdytheme.com/html/saasly/ai-image-generator.html	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/ai-image-generator.html	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:56	64435/64435	---M-Z	200	added ('OK')	text/html	etag:%22fbb3-6652d68e-6955bfb862dbc8bb;gz%22	https://crowdytheme.com/html/saasly/ai-chatbot.html	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/ai-chatbot.html	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:56	91915/91915	---M-Z	200	added ('OK')	text/html	etag:%221670b-6652d68e-93045db702248ed;gz%22	https://crowdytheme.com/html/saasly/ai-seo.html	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/ai-seo.html	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:56	56106/56106	---M-Z	200	added ('OK')	text/html	etag:%22db2a-6652d68e-6ed98e0b5adde655;gz%22	https://crowdytheme.com/html/saasly/ai-software.html	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/ai-software.html	(from https://crowdytheme.com/html/saasly/crm.html)
21:39:57	52396/52396	---M-Z	200	added ('OK')	text/html	etag:%22ccac-6652d68e-e25f7f227e63d6cd;gz%22	https://crowdytheme.com/html/saasly/ai-video-editor.html	C:/My%20Web%20Sites/saasly/crowdytheme.com/html/saasly/ai-video-editor.html	(from https://crowdytheme.com/html/saasly/crm.html)
